Dogleg Logs

x =[0.0413;0.6432;0.6756;0.9006;0.4818;0.7941;0.8919;0.9035;0.7755;0.9288;0.8659;0.5903]


fvalue =

    7.4743


tvals =

     0

iter =   2: x = [0.0351647;0.552168;0.756153;0.837568;0.551339;0.71433;0.91772;0.88819;0.844364;0.882359;0.824788;0.612915], F(x) = 4.730279
iter =   3: x = [0.0235327;0.441174;0.832223;0.784019;0.633461;0.631658;0.933065;0.878927;0.898865;0.848229;0.798872;0.626486], F(x) = 3.290783
iter =   4: x = [0.0236032;0.11927;0.907226;0.748546;0.759965;0.489091;0.955101;0.907132;0.942572;0.850933;0.866956;0.769519], F(x) = 2.321560
iter =   5: x = [0.0236032;0.11927;0.907226;0.748546;0.759965;0.489091;0.955101;0.907132;0.942572;0.850933;0.866956;0.769519], F(x) = 2.321560
iter =   6: x = [0.0236032;0.11927;0.907226;0.748546;0.759965;0.489091;0.955101;0.907132;0.942572;0.850933;0.866956;0.769519], F(x) = 2.321560
iter =   7: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =   8: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =   9: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  10: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  11: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  12: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  13: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  14: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  15: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
iter =  16: x = [0.0465081;0.0688812;0.835641;0.724221;0.663986;0.449064;0.959526;0.925345;0.959845;0.939997;0.888235;0.789961], F(x) = 1.768072
